rank,ticker,quant_score,verification_status,thesis,risk
1,QNST,85.688902,FINALIST,"Record Q4 revenue +43% YoY; adjusted EBITDA +87%; repeated quarterly revenue beats; Q1 FY27 revenue guidance raised to $370M-$380M; strong double-digit growth and margin expansion expected","Digital advertising cyclicality; Friday close $19.18"
2,BULL,88.085762,FINALIST,"Q2 revenue $198.8M +51% YoY; adjusted operating profit $62.6M +169%; customer assets +79%; PDT-rule change and active-trading growth provide current catalyst","Trading-volume/market/crypto sensitivity; higher volatility"
3,FIGR,86.956370,FINALIST,"Q2 Consumer Loan Marketplace volume +132% YoY; 100+ origination partners; weekly applications above $1B in July; Kiavi acquisition adds >$7B annual first-lien volume","Fintech/credit/rate sensitivity; blockchain narrative risk"
4,CAI,85.386211,FINALIST,"Q2 revenue $263.7M +45%; molecular profiling revenue +55%; gross margin expanded to 68%; raised 2026 revenue guidance to $1.03B-$1.04B","Healthcare/valuation risk; mixed analyst targets; not a binary clinical thesis"
5,IAG,85.184405,FINALIST,"Q2 188.1k oz gold; adjusted EBITDA $507.3M; on track for 720k-820k oz FY; Cote near full capacity; production expected up and unit costs down H2; net cash and $1.3B liquidity","Gold-price sensitivity; miners weakened Friday"
6,AYA,88.771594,WATCH,"Q2 revenue +151%; net income +305%; operating cash flow +522%; record production and processing rates","Silver-price sensitivity; recent strong run can be extended"
7,ECO,86.719043,WATCH,"Q2 revenue $318.9M vs $93.9M prior year; EPS $5.90 vs $0.84; strong cash generation and $5.25 dividend","Highly cyclical tanker rates; large dividend/ex-dividend effects"
8,AUGO,89.572289,WATCH,"Record first-half result; Q2 production +18% YoY; sales +25% YoY; record adjusted EBITDA; dividend above policy minimum","Gold-price sensitivity; Q2 production down sequentially; Friday -5%"
9,REAX,88.978804,WATCH,"Q2 transaction value +31%; closed sides +27%; agents +26%; revenue +30%","RE/MAX acquisition integration/transaction complexity; Friday -10.7%"
10,HL,85.456176,WATCH,"Strong precious-metals operating backdrop and quantitative acceleration","Gold/silver sensitivity; Friday -4.9%; sector reversal risk"
11,EXK,85.182698,WATCH,"Q2 silver production +31%; revenue +149%; mine operating cash flow +336%; strong cash position","Terronera illegal blockade caused recent suspension before Aug 23 removal; operational and silver-price risk"
12,OABI,89.425621,WATCH,"Raised FY2026 revenue and cash outlook on continued business momentum and partner-program progress","Biopharma partner-program dependence; special-risk review required"
13,HTFL,86.502197,WATCH,"Q2 revenue +48%; raised FY revenue guidance to 40%-42% growth; 83% gross margin","Price near/above several recent analyst targets; extension/valuation risk despite strong execution"
14,KURA,86.471435,WATCH,"Commercial oncology launch gaining traction; CEO made two large August open-market purchases","Biotech/commercial-launch risk and oncology concentration"
15,AMLX,91.277673,HIGH_RISK,"Phase 3 LUCIDITY met primary and all secondary endpoints; NDA planned by year-end","Clinical/regulatory thesis plus immediate upsized $500M equity offering; violates preferred non-binary profile"
16,IOVA,90.224303,HIGH_RISK,"Strong quantitative acceleration","Biotech/regulatory and product-execution concentration; special-risk flag"
17,PGEN,86.547541,HIGH_RISK,"Strong quantitative leadership","Biotech/regulatory concentration; special-risk flag"
18,FDMT,88.366150,HIGH_RISK,"Positive Phase 2b data and Phase 3 enrollment progress; $431M cash runway into H2 2028","Late-stage gene-therapy clinical dependence; key Phase 3 readouts not until 2027"
19,FHTX,84.972478,HIGH_RISK,"Cash runway into H1 2028 and pipeline progress","Clinical-stage biotech; primary value dependent on future trial outcomes"
20,SLS,87.925548,HIGH_RISK,"Phase 3 REGAL approaching final analysis","Predominantly binary Phase 3 oncology event; excluded by SSOT risk rule"
21,HELP,86.753926,HIGH_RISK,"Quantitative leadership","Cybin clinical-stage psychedelic biotech; EPS miss and binary clinical/regulatory exposure"
22,ASST,92.687345,EXCLUDE,"High quantitative reversal score","Strive is predominantly a Bitcoin/digital-asset treasury vehicle; earnings dominated by crypto fair-value changes"
23,BMNR,90.863581,EXCLUDE,"High quantitative reversal score","BitMine is predominantly an Ethereum treasury proxy; crypto-price concentration"
24,SBET,91.870701,EXCLUDE,"High quantitative reversal score","SharpLink is predominantly an Ethereum treasury strategy; crypto-price concentration"
25,FWDI,85.857074,EXCLUDE,"High quantitative reversal score","Forward Industries has crypto/Solana treasury exposure and speculative financing sensitivity"
